created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 25 18:56:44 +0000 2023;1717253880184991764;"@zoe_agbetusin @iconickdramas You noticed that too?";0;0;0;0;en;1578679311074267137;1716994542946386196;veraa_davidd;https://twitter.com/veraa_davidd/status/1717253880184991764
Wed Oct 25 17:52:45 +0000 2023;1717237777723474419;"@iconickdramas Why does he look so different here";0;1;0;1;en;814225696163852288;1716994542946386196;zoe_agbetusin;https://twitter.com/zoe_agbetusin/status/1717237777723474419
Wed Oct 25 17:36:26 +0000 2023;1717233672737427950;"@iconickdramas i can't wait";0;0;0;0;en;1535797063103168512;1716994542946386196;dekkty;https://twitter.com/dekkty/status/1717233672737427950
Wed Oct 25 17:39:15 +0000 2023;1717234381608440151;"@iconickdramas publicity stunt cuz rumors said that girl maybe starring with lee min ho on a new film";0;0;0;0;en;1176366855771975681;1716704777336406142;JhienJust;https://twitter.com/JhienJust/status/1717234381608440151
Wed Oct 25 17:23:36 +0000 2023;1717230441693089878;"@iconickdramas Absolutely can't wait for Song Kang and Kim Yoo Jung's chemistry in #MyDemon! It's bound to be an exciting and unforgettable pairing. 🥰📺✨ #SongKang #KimYooJung #KdramaHype";1;0;0;5;en;1710758012095266817;1716994931410272765;Chatterbox_AMPM;https://twitter.com/Chatterbox_AMPM/status/1717230441693089878
Wed Oct 25 17:20:42 +0000 2023;1717229712043659459;"@iconickdramas BRO I STARTED READING THAT IN APRIL. ITS GONNA BE GOOOOOD";0;0;0;0;en;1190708177706323968;1716996075024941342;kimdayeonswife;https://twitter.com/kimdayeonswife/status/1717229712043659459
Wed Oct 25 16:52:50 +0000 2023;1717222699720716304;"@iconickdramas Omg wait please what drama is this I've seen it before";0;0;0;0;en;1619738733376331777;1716995266753225099;Rav1AR1;https://twitter.com/Rav1AR1/status/1717222699720716304
Wed Oct 25 16:04:53 +0000 2023;1717210630296687020;"@iconickdramas 🥰";0;0;0;0;qme;1306354759226466304;1717113780294066478;taetaekachi;https://twitter.com/taetaekachi/status/1717210630296687020
Wed Oct 25 15:56:08 +0000 2023;1717208428878102796;"@jeveuxRinax @iconickdramas não sei, pode ser aplique";0;0;0;0;pt;1205573018275201024;1713722712072556767;paulalelepipedo;https://twitter.com/paulalelepipedo/status/1717208428878102796
Wed Oct 25 15:30:43 +0000 2023;1717202032426201131;"@iconickdramas The visuals are visualling";0;0;0;0;en;1048191508355137536;1716995266753225099;Ngonwamama;https://twitter.com/Ngonwamama/status/1717202032426201131
Wed Oct 25 15:23:56 +0000 2023;1717200324618801390;"@letIANcook7 @iconickdramas Que lindos meu Deus 😭😭😭tô ansiosa";0;0;0;1;pt;1515496273826226182;1716994542946386196;Luiluiuiu;https://twitter.com/Luiluiuiu/status/1717200324618801390
Wed Oct 25 15:02:17 +0000 2023;1717194877392294035;"@iconickdramas @comentsdramas Gente qndo sai, quero logo assistir !!!";0;1;0;0;pt;1604598471968886784;1716995266753225099;Suzart64595037;https://twitter.com/Suzart64595037/status/1717194877392294035
Wed Oct 25 14:32:49 +0000 2023;1717187461817004416;"@iconickdramas cantik banget yaampun";0;0;0;0;in;1558166023609937920;1717113780294066478;bellinghaam;https://twitter.com/bellinghaam/status/1717187461817004416
Wed Oct 25 14:31:23 +0000 2023;1717187101123584511;"@fatso_army @iconickdramas action : city Hunter, healer saeguk/sageuk (idk) : queen for seven days, Sungkyunkwan scandal slice of life : when the weather is fine";0;0;0;4;en;1380786646409302019;1716996075024941342;supermacygirl;https://twitter.com/supermacygirl/status/1717187101123584511
Wed Oct 25 12:29:36 +0000 2023;1717156453071589879;"@iconickdramas Lee Yi Kyung 😍";0;0;0;0;tl;1529308934808358914;1716996075024941342;Cams816;https://twitter.com/Cams816/status/1717156453071589879
Wed Oct 25 12:14:59 +0000 2023;1717152773664653474;"@iconickdramas King of kisses 😙";0;0;0;0;en;1184498769645060096;1716995266753225099;ikasinh;https://twitter.com/ikasinh/status/1717152773664653474
Wed Oct 25 12:00:44 +0000 2023;1717149189241516380;"@iconickdramas oha oyuncular tek başına mükemmel de bir arada hiç uyumlu değil gibiler bakalımmm";0;0;0;0;tr;1400973870354645000;1716996075024941342;hobiidobii;https://twitter.com/hobiidobii/status/1717149189241516380
